Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
OMCL,"Omnicell, Inc.",70.66,2799989482,n/a,2001,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/omcl
OMC,Omnicom Group Inc.,76.66,17179941046,n/a,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/omc
ON,ON Semiconductor Corporation,18.59,7825072248,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/on
OTIV,On Track Innovations Ltd,0.772,31879259.04,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/otiv
OSS,"One Stop Systems, Inc.",2.7,34503867,n/a,2018,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/oss
OSPN,OneSpan Inc.,16.08,647322590.4,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ospn
OOMA,"Ooma, Inc.",13.85,274230000,n/a,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/ooma
OTEX,Open Text Corporation,33.43,8970324686,n/a,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/otex
ORCL,Oracle Corporation,48.62,1.84204E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/orcl
OSIS,"OSI Systems, Inc.",72.61,1318098261,n/a,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/osis
PFIN,"P & F Industries, Inc.",7.9553,29442366.42,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/pfin
PAGS,PagSeguro Digital Ltd.,21.91,6904595098,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/pags
PANW,"Palo Alto Networks, Inc.",166.94,15744904532,n/a,2012,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/panw
TEUM,Pareteum Corporation,1.9,184846365.9,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/teum
PCYG,"Park City Group, Inc.",8.39,166158916,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/pcyg
PKE,Park Electrochemical Corporation,17.52,355254932.2,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/pke
